1	DUCKERS	English - Belonging To; Ending with -Ers; Other
1	DERING	Unclassified
1	DURBIN	English - Other; Regional; South Western
1	DYDE	English - Unclassified; Unclassified; Unclassified
1	DICKES	Unclassified
1	DEWBERY	Unclassified
1	DILLY	English - Other; Regional; South Eastern
1	DIMMICK	English - Other; Regional; South Eastern
1	DIMON	English - Other; Regional; South Western
1	DEWSNAP	English - Other; Regional; North Western
2	DOOLIN	Celtic; Irish; Unclassified
2	DRY	English - Other; Regional; Yorkshire
2	DRYDON	Unclassified
2	DORCEY	Unclassified
2	DAY	English - Occupational Name; Other; Other
2	DORRANCE	Unclassified
2	DAYNS	Unclassified
2	DARRANT	Unclassified
2	DRACOTT	Unclassified
2	DARBEY	English - Unclassified; Unclassified; Unclassified
3	DRUIFF	Unclassified
3	DUFFES	Unclassified
3	DELVIN	Celtic; Irish; Unclassified
3	DEADY	English - Unclassified; Unclassified; Unclassified
3	DEJERSEY	Unclassified
3	DEEDES	Unclassified
3	DELDERFIELD	English - Locational Name; Settlement Ending; Field
3	DALGETTY	English - Locational Name; Place; Other
3	DADDY	English - Other; Regional; Yorkshire
3	DAGLESS	English - Other; Regional; East Anglian
4	DAINS	Unclassified
4	DEARNLEY	English - Locational Name; Settlement Ending; Ley
4	DEASLEY	Unclassified
4	DAYTON	English - Locational Name; Settlement Ending; Ton
4	DUMMA	Unclassified
4	DUNMILL	Unclassified
4	DUNSEATH	Celtic; Irish; Other Northern Irish
4	DEERE	English - Nickname; Creature; Animal
4	DEES	English - Unclassified; Unclassified; Unclassified
4	DISKIN	English - Diminutive; Ending with -Kin; Other
5	DEWILDE	Unclassified
5	DURSLEY	English - Locational Name; Settlement Ending; Ley
5	DUSTING	Unclassified
5	DEVEREUX	English - Norman; Norman; Norman
5	DIKE	English - Locational Name; Generic Feature; Other
5	DOLDING	English - Locational Name; Settlement Ending; Ing
5	DONNALLY	Unclassified
5	DITTON	English - Locational Name; Settlement Ending; Ton
5	DIVER	English - Occupational Name; Ending in -Er; Other Occupation
5	DOAK	Celtic; Scottish; Other Regional
6	DOAR	Unclassified
6	DONOHOO	Unclassified
6	DOBEL	Unclassified
6	DRUST	Unclassified
6	DRYDEN	English - Locational Name; Settlement Ending; Den
6	DOWSEY	Unclassified
6	DOVENOR	Unclassified
6	DORROFIELD	Unclassified
6	DROWLEY	Unclassified
6	DEVELIN	Unclassified
7	DIGGETT	Unclassified
7	DINNEY	Unclassified
7	DIGWOOD	Unclassified
7	DOONAN	Celtic; Irish; Ending with -Nan
7	DONINGTON	Unclassified
7	DOCKINGS	Unclassified
7	DORAM	Unclassified
7	DAFFORN	Unclassified
7	DODS	Celtic; Scottish; Other Regional
7	DONOUGHUE	Unclassified
8	DONALD	Celtic; Scottish; Personal Name
8	DOBEDOE	Unclassified
8	DOODY	English - Other; Regional; West Midlands
8	DOBS	Unclassified
8	DONEY	English - Other; Regional; South Western
8	DOTTRIDGE	Unclassified
8	DOWNALL	Unclassified
8	DEAKER	Unclassified
8	DRISCOL	Unclassified
8	DRAIN	English - Other; Regional; London
9	DEFEW	Unclassified
9	DEFRAINE	Unclassified
9	DUNKLIN	Unclassified
9	DUDSON	English - Name Of Parent; Ending in -Son; Other
9	DUMBLE	Celtic; Scottish; Other Regional
9	DEMPSIE	Celtic; Scottish; Ending with -Ie
9	DELACY	Unclassified
9	DUNLIN	Unclassified
9	DENMEAD	English - Locational Name; Settlement Ending; Mead
9	DERRICOTT	English - Locational Name; Settlement Ending; Cott
10	DEEK	Unclassified
10	DUFTON	English - Locational Name; Settlement Ending; Ton
10	DUGGINS	English - Name Of Parent; Ending in -S; After -Kin Or Gin
10	DUNSON	Unclassified
10	DUNIGAN	Unclassified
10	DEWBURY	Unclassified
10	DUTCHMAN	Unclassified
10	DIGNEY	English - Locational Name; Settlement Ending; Ney
10	DOLLAMORE	Unclassified
10	DAER	Unclassified
11	DABINETT	English - Diminutive; Ending with -Ett; After Male Personal Name
