##ACCLIMATISATION	##WI-ACCLIMATISATION
[Berbice]	[WIN, GUI, BER]
[Demerara]	[WIN, GUI, DEM]
[Tobago]	[WIN, TOB]
[VIN]	[WIN, VIN]
[GRE]	[WIN, GRE]
##ADMINISTRATION	##[NOTICE-ADMINISTRATION]
##ADVERTISING	##SUBS-ADVERTISING
##ADVICE	##OUT-ADVICE
##ALIENATION	##WI-ATOMISATION
##ARRIVAL	##WI-ARRIVAL
##ATOMISATION	##WI-ATOMISATION
##ATTACHMENT	##WI-HOME
##ATEENDEES?	##[ATTENDEES?]
##ATEENDEES	##[ATTENDEES]
##BIOGRAPHY	##BIOG
##BIRTH-NOTICE	##[BDM-BIRTH]
##BIRTH-NOTICES	##[BDM-BIRTH]
##QUITTING-NOTICE	##[QUITTING-NOTICE]
##T.R.ANSPORTS	##[TRANSPORTS]
##ENTERED	##[ENTERED]
##ODS-CLEARED	##[CLEARED]
##CHAIN-MIGRATION	##OUT-CHAIN-MIGRATION
##CHRONOLOGICAL-CHANGE	##WI-FLUCTUATIONS
##COMMUNICATION-DOMESTIC	##COMMS-DOMESTIC
##COMMUNICATION	##COMMS
##COMMUNICATIONS	##COMMS
##CORRESPONDENCE-MECHANICS	##COMMS-MECHANICS
##CORRESPONDENCE	##COMMS
##DAMAGED	##[DAMAGED]
##INCOMPLETE	##[INCOMPLETE]
