																						9	5	/mnt/SSD3/Dropbox/workspace/2.research/01.Sources/01.Primary/01.Manuscripts/01.Archives/02.ENGLAND & WALES/TNA, National Archives (UK)/T71, Registry of Colonial Slaves and Compensation/(001-671), Slave Registers, 1817-32/(391-436), Demerara & Essequebo/(406-413), 1823/(ALL, DIGEST)/20230517, D.ALSTON/02_ODS/ALL.[+].ods	1	14	1		
																								/mnt/SSD3/Dropbox/workspace/2.research/01.Sources/01.Primary/01.Manuscripts/01.Archives/02.ENGLAND & WALES/TNA, National Archives (UK)/T71, Registry of Colonial Slaves and Compensation/(001-671), Slave Registers, 1817-32/(391-436), Demerara & Essequebo/(406-413), 1823/(ALL, DIGEST)/20230517, D.ALSTON/02_ODS/ALL.[+].ods{3}	1	15
																						65	78	/mnt/SSD3/Dropbox/workspace/2.research/01.Sources/01.Primary/01.Manuscripts/01.Archives/02.ENGLAND & WALES/TNA, National Archives (UK)/T71, Registry of Colonial Slaves and Compensation/(001-671), Slave Registers, 1817-32/(391-436), Demerara & Essequebo/(406-413), 1823/(ALL, DIGEST)/20230517, D.ALSTON/02_ODS/ALL.[+].ods	2	143	8		
																								/mnt/SSD3/Dropbox/workspace/2.research/01.Sources/01.Primary/01.Manuscripts/01.Archives/02.ENGLAND & WALES/TNA, National Archives (UK)/T71, Registry of Colonial Slaves and Compensation/(001-671), Slave Registers, 1817-32/(391-436), Demerara & Essequebo/(406-413), 1823/(ALL, DIGEST)/20230517, D.ALSTON/02_ODS/ALL.[+].ods{3}	2	156
																						8	5	/mnt/SSD3/Dropbox/workspace/2.research/01.Sources/01.Primary/01.Manuscripts/01.Archives/02.ENGLAND & WALES/TNA, National Archives (UK)/T71, Registry of Colonial Slaves and Compensation/(001-671), Slave Registers, 1817-32/(391-436), Demerara & Essequebo/(406-413), 1823/(ALL, DIGEST)/20230517, D.ALSTON/02_ODS/ALL.[+].ods	3	13	2		4
																								/mnt/SSD3/Dropbox/workspace/2.research/01.Sources/01.Primary/01.Manuscripts/01.Archives/02.ENGLAND & WALES/TNA, National Archives (UK)/T71, Registry of Colonial Slaves and Compensation/(001-671), Slave Registers, 1817-32/(391-436), Demerara & Essequebo/(406-413), 1823/(ALL, DIGEST)/20230517, D.ALSTON/02_ODS/ALL.[+].ods{3}	3	15
																						3	2	/mnt/SSD3/Dropbox/workspace/2.research/01.Sources/01.Primary/01.Manuscripts/01.Archives/02.ENGLAND & WALES/TNA, National Archives (UK)/T71, Registry of Colonial Slaves and Compensation/(001-671), Slave Registers, 1817-32/(391-436), Demerara & Essequebo/(406-413), 1823/(ALL, DIGEST)/20230517, D.ALSTON/02_ODS/ALL.[+].ods	4	5	1	1	
																								/mnt/SSD3/Dropbox/workspace/2.research/01.Sources/01.Primary/01.Manuscripts/01.Archives/02.ENGLAND & WALES/TNA, National Archives (UK)/T71, Registry of Colonial Slaves and Compensation/(001-671), Slave Registers, 1817-32/(391-436), Demerara & Essequebo/(406-413), 1823/(ALL, DIGEST)/20230517, D.ALSTON/02_ODS/ALL.[+].ods{3}	4	4
																							1	/mnt/SSD3/Dropbox/workspace/2.research/01.Sources/01.Primary/01.Manuscripts/01.Archives/02.ENGLAND & WALES/TNA, National Archives (UK)/T71, Registry of Colonial Slaves and Compensation/(001-671), Slave Registers, 1817-32/(391-436), Demerara & Essequebo/(406-413), 1823/(ALL, DIGEST)/20230517, D.ALSTON/02_ODS/ALL.[+].ods	5	1			
																								/mnt/SSD3/Dropbox/workspace/2.research/01.Sources/01.Primary/01.Manuscripts/01.Archives/02.ENGLAND & WALES/TNA, National Archives (UK)/T71, Registry of Colonial Slaves and Compensation/(001-671), Slave Registers, 1817-32/(391-436), Demerara & Essequebo/(406-413), 1823/(ALL, DIGEST)/20230517, D.ALSTON/02_ODS/ALL.[+].ods{3}	5	1
																						200	273	/mnt/SSD3/Dropbox/workspace/2.research/01.Sources/01.Primary/01.Manuscripts/01.Archives/02.ENGLAND & WALES/TNA, National Archives (UK)/T71, Registry of Colonial Slaves and Compensation/(001-671), Slave Registers, 1817-32/(391-436), Demerara & Essequebo/(406-413), 1823/(ALL, DIGEST)/20230517, D.ALSTON/02_ODS/ALL.[+].ods	6	473	28	1	
